county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot,lag_1,log_lag_1,lag_2,log_lag_2,lag_3,log_lag_3,roll_mean_2,roll_mean_3,roll_std_3,log_roll_mean_2,log_roll_mean_3,diff_1,log_diff_1,pct_change,trend_up,national_kg,county_share_pct,z_score
Kwale,12.5,2022 H2,2022-09-30,3,2,2022,2.6026896854443837,1773.92,0,0.8,0.5877866649021191,1.05,0.7178397931503169,48.0,3.8918202981106265,6.65,4.783333333333333,6.683998304408323,1.5952381751732514,1.302772047832273,11.7,2.0149030205422647,1462.5,1,7249.725,0.1724,-0.5543128284220312
Kwale,2.35,2023 H1,2023-03-31,4,1,2023,1.208960345836975,1773.92,0,12.5,2.6026896854443837,0.8,0.5877866649021191,1.05,0.7178397931503169,7.425,5.216666666666666,6.3549849199925985,1.9058250156406795,1.4664788987278259,-10.15,-1.3937293396074086,-81.2,0,11866.28,0.0198,-0.5847906587577396
Kwale,0.51,2023 H2,2023-09-30,5,2,2023,0.412109650826833,1773.92,0,2.35,1.208960345836975,12.5,2.6026896854443837,0.8,0.5877866649021191,1.4300000000000002,5.12,6.457143331226279,0.810534998331904,1.4079198940360638,-1.84,-0.7968506950101422,-78.29787234042553,0,13714.12,0.0037,-0.590315703862932
Kwale,159.0,2024 H1,2024-03-31,6,1,2024,5.075173815233827,1773.92,0,0.51,0.412109650826833,2.35,1.208960345836975,12.5,2.6026896854443837,79.755,53.95333333333334,90.9777337227815,2.74364173303033,2.232081270632545,158.49,4.663064164406993,31076.470588235294,1,13415.2,1.1852,-0.1144111393401325
Kwale,710.2,2024 H2,2024-09-30,7,2,2024,6.566953684199695,1773.92,0,159.0,5.075173815233827,0.51,0.412109650826833,2.35,1.208960345836975,434.6,289.90333333333336,372.51407494661646,5.82106374971676,4.018079050086785,551.2,1.4917798689658683,346.6666666666667,1,14737.7,4.8189,1.540700198693605
Kwale,839.51,2025 H1,2025-03-31,8,1,2025,6.734008850457846,1773.92,0,710.2,6.566953684199695,159.0,5.075173815233827,0.51,0.412109650826833,774.855,569.57,361.39460801179655,6.65048126732877,6.125378783297123,129.30999999999995,0.16705516625815076,18.20754716981132,1,12752.52,6.5831,1.9289847544286243
Laikipia,5.0,2021 H1,2021-03-31,0,1,2021,1.791759469228055,1694.375,0,,,,,,,5.0,5.0,0.0,1.791759469228055,1.791759469228055,,,,0,6932.09297,0.0721,-0.3482986672320397
Laikipia,27.0,2021 H2,2021-09-30,1,2,2021,3.332204510175204,1694.375,0,5.0,1.791759469228055,,,,,16.0,16.0,15.556349186104045,2.5619819897016294,2.5619819897016294,22.0,1.5404450409471488,440.00000000000006,1,4781.42,0.5647,-0.30648698940744323
Laikipia,6.5,2022 H1,2022-03-31,2,1,2022,2.0149030205422647,1694.375,0,27.0,3.332204510175204,5.0,1.791759469228055,,,16.75,12.833333333333334,12.291596044994863,2.6735537653587342,2.3796223333151745,-20.5,-1.3173014896329391,-75.92592592592592,0,3621.407,0.1795,-0.3454478710167263
Laikipia,42.675,2022 H2,2022-09-30,3,2,2022,3.7767758560201203,1694.375,0,6.5,2.0149030205422647,27.0,3.332204510175204,5.0,1.791759469228055,24.5875,25.391666666666666,18.141050364665585,2.8958394382811923,3.041294462245863,36.175,1.7618728354778557,556.5384615384615,1,7249.725,0.5886,-0.27669616895741816
Laikipia,1.7,2023 H1,2023-03-31,4,1,2023,0.9932517730102834,1694.375,0,42.675,3.7767758560201203,6.5,2.0149030205422647,27.0,3.332204510175204,22.1875,16.958333333333332,22.400227863424362,2.385013814515202,2.2616435498575562,-40.974999999999994,-2.783524083009837,-96.01640304628002,0,11866.28,0.0143,-0.3545704189057292
Laikipia,0.0,2023 H2,2023-09-30,5,2,2023,0.0,1694.375,0,1.7,0.9932517730102834,42.675,3.7767758560201203,6.5,2.0149030205422647,0.85,14.791666666666666,24.162630410063663,0.4966258865051417,1.5900092096768013,-1.7,-0.9932517730102834,-100.0,0,13714.12,0.0,-0.3578013212830844
Laikipia,1590.9,2024 H1,2024-03-31,6,1,2024,7.37268355036109,1694.375,0,0.0,0.0,1.7,0.9932517730102834,42.675,3.7767758560201203,795.45,530.8666666666667,918.0161890366277,3.686341775180545,2.788645107790458,1590.9,7.37268355036109,inf,1,13415.2,11.8589,2.6657531446783054
Laikipia,13.7,2024 H2,2024-09-30,7,2,2024,2.6878474937846906,1694.375,0,1590.9,7.37268355036109,0.0,0.0,1.7,0.9932517730102834,802.3000000000001,534.8666666666667,914.5773468293064,5.030265522072891,3.353510348048594,-1577.2,-4.684836056576399,-99.1388522220127,0,14737.7,0.093,-0.33176404918322205
Laikipia,6.9,2025 H1,2025-03-31,8,1,2025,2.066862759472976,1694.375,0,13.7,2.6878474937846906,1590.9,7.37268355036109,0.0,0.0,10.3,537.1666666666666,912.5661692903882,2.3773551266288333,4.042464601206253,-6.799999999999999,-0.6209847343117145,-49.63503649635036,0,12752.52,0.0541,-0.34468765869264273
Lamu,0.01,2021 H1,2021-03-31,0,1,2021,0.009950330853168083,34.37,0,,,,,,,0.01,0.01,0.0,0.009950330853168083,0.009950330853168083,,,,0,6932.09297,0.0001,-0.9716747382331575
Lamu,1.01,2021 H2,2021-09-30,1,2,2021,0.6981347220709844,34.37,0,0.01,0.009950330853168083,,,,,0.51,0.51,0.7071067811865476,0.35404252646207623,0.35404252646207623,1.0,0.6881843912178163,10000.0,1,4781.42,0.0211,-0.7165676015908465
Lamu,10.0,2022 H1,2022-03-31,2,1,2022,2.3978952727983707,34.37,0,1.01,0.6981347220709844,0.01,0.009950330853168083,,,5.505,3.6733333333333333,5.501820910692508,1.5480149974346775,1.035326775240841,8.99,1.6997605507273863,890.09900990099,1,3621.407,0.2761,1.5768455568235284
Lamu,1.05,2022 H2,2022-09-30,3,2,2022,0.7178397931503169,34.37,0,10.0,2.3978952727983707,1.01,0.6981347220709844,0.01,0.009950330853168083,5.525,4.0200000000000005,5.178870533234056,1.5578675329743437,1.2712899293398907,-8.95,-1.6800554796480538,-89.5,0,7249.725,0.0145,-0.7063633161251541
Lamu,10.02,2023 H1,2023-03-31,4,1,2023,2.3997118037247684,34.37,0,1.05,0.7178397931503169,10.0,2.3978952727983707,1.01,0.6981347220709844,5.535,7.023333333333333,5.173068077392112,1.5587757984375425,1.838482289891152,8.969999999999999,1.6818720105744516,854.2857142857142,1,11866.28,0.0844,1.5819476995563746
Lamu,3.78,2023 H2,2023-09-30,5,2,2023,1.5644405465033646,34.37,0,10.02,2.3997118037247684,1.05,0.7178397931503169,10.0,2.3978952727983707,6.8999999999999995,4.95,4.598032187795122,1.9820761751140665,1.5606640477928166,-6.24,-0.8352712572214038,-62.27544910179641,0,13714.12,0.0276,-0.00992083309164539
