county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot
Nandi,21.235,2022 H1,2022-03-31,2,1,2022,3.1016676239626597,173.345,0
Nandi,14.0,2022 H2,2022-09-30,3,2,2022,2.70805020110221,173.345,0
Nandi,6.0,2023 H1,2023-03-31,4,1,2023,1.9459101490553132,173.345,0
Nandi,0.65,2023 H2,2023-09-30,5,2,2023,0.5007752879124893,173.345,0
Nandi,28.7,2024 H1,2024-03-31,6,1,2024,3.391147045808654,173.345,0
Nandi,24.6,2024 H2,2024-09-30,7,2,2024,3.242592351485517,173.345,0
Nandi,47.38,2025 H1,2025-03-31,8,1,2025,3.8790865051818813,173.345,0
Narok,4.0,2021 H1,2021-03-31,0,1,2021,1.6094379124341003,2698.665,0
Narok,1175.95,2021 H2,2021-09-30,1,2,2021,7.070681625474336,2698.665,0
Narok,342.05,2022 H1,2022-03-31,2,1,2022,5.837876209136899,2698.665,0
